"name","contrast","Season","estimate","SE","df","t.ratio","p.value"
"C18:3n3 alpha linolenic acid (ALA)","Age13 - Age54","Autumn/Winter",-0.62,0.1,63,-5.96,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","Age32 - Age54","Autumn/Winter",-0.34,0.1,63,-3.31,"0.004"
"C18:3n6 gamma linolenic (GLA)","Age13 - Age32","Spring/Summer",-0.06,0.05,63,-1.26,"0.421"
"C18:3n6 gamma linolenic (GLA)","Age13 - Age54","Spring/Summer",0.05,0.05,63,0.91,"0.637"
"C18:3n6 gamma linolenic (GLA)","Age32 - Age54","Spring/Summer",0.11,0.05,63,2.17,"0.084"
"C18:3n6 gamma linolenic (GLA)","Age13 - Age32","Autumn/Winter",-0.1,0.05,63,-1.9,"0.148"
"C18:3n6 gamma linolenic (GLA)","Age13 - Age54","Autumn/Winter",-0.07,0.05,63,-1.39,"0.352"
"C18:3n6 gamma linolenic (GLA)","Age32 - Age54","Autumn/Winter",0.03,0.05,63,0.51,"0.868"
"C18:3n4 octadecatrienoic acid","Age13 - Age32","Spring/Summer",-0.54,0.07,63,-7.93,"<0.001"
"C18:3n4 octadecatrienoic acid","Age13 - Age54","Spring/Summer",-0.63,0.07,63,-9.27,"<0.001"
"C18:3n4 octadecatrienoic acid","Age32 - Age54","Spring/Summer",-0.09,0.07,63,-1.34,"0.379"
"C18:3n4 octadecatrienoic acid","Age13 - Age32","Autumn/Winter",-0.04,0.07,63,-0.61,"0.816"
"C18:3n4 octadecatrienoic acid","Age13 - Age54","Autumn/Winter",-0.07,0.07,63,-0.99,"0.584"
"C18:3n4 octadecatrienoic acid","Age32 - Age54","Autumn/Winter",-0.03,0.07,63,-0.39,"0.921"
"C18:4n3 stearidonic acid (SDA)","Age13 - Age32","Spring/Summer",0.05,0.1,63,0.47,"0.884"
"C18:4n3 stearidonic acid (SDA)","Age13 - Age54","Spring/Summer",-0.08,0.1,63,-0.84,"0.681"
"C18:4n3 stearidonic acid (SDA)","Age32 - Age54","Spring/Summer",-0.13,0.1,63,-1.31,"0.395"
"C18:4n3 stearidonic acid (SDA)","Age13 - Age32","Autumn/Winter",-0.19,0.1,63,-1.96,"0.131"
"C18:4n3 stearidonic acid (SDA)","Age13 - Age54","Autumn/Winter",-0.16,0.1,63,-1.65,"0.232"
"C18:4n3 stearidonic acid (SDA)","Age32 - Age54","Autumn/Winter",0.03,0.1,63,0.31,"0.949"
"C20:0 arachidic acid","Age13 - Age32","Spring/Summer",-0.08,0.05,63,-1.79,"0.181"
"C20:0 arachidic acid","Age13 - Age54","Spring/Summer",-0.32,0.05,63,-6.71,"<0.001"
"C20:0 arachidic acid","Age32 - Age54","Spring/Summer",-0.23,0.05,63,-4.92,"<0.001"
"C20:0 arachidic acid","Age13 - Age32","Autumn/Winter",0.05,0.05,63,1.08,"0.527"
"C20:0 arachidic acid","Age13 - Age54","Autumn/Winter",-0.03,0.05,63,-0.63,"0.807"
"C20:0 arachidic acid","Age32 - Age54","Autumn/Winter",-0.08,0.05,63,-1.71,"0.209"
"C20:1 gadoleic acid","Age13 - Age32","Spring/Summer",-0.17,0.03,63,-6.04,"<0.001"
"C20:1 gadoleic acid","Age13 - Age54","Spring/Summer",-0.27,0.03,63,-9.53,"<0.001"
"C20:1 gadoleic acid","Age32 - Age54","Spring/Summer",-0.1,0.03,63,-3.48,"0.003"
"C20:1 gadoleic acid","Age13 - Age32","Autumn/Winter",-0.03,0.03,63,-0.97,"0.597"
"C20:1 gadoleic acid","Age13 - Age54","Autumn/Winter",-0.11,0.03,63,-3.98,"<0.001"
"C20:1 gadoleic acid","Age32 - Age54","Autumn/Winter",-0.09,0.03,63,-3.01,"0.010"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age13 - Age32","Spring/Summer",-0.07,0.03,63,-2.33,"0.059"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age13 - Age54","Spring/Summer",-0.05,0.03,63,-1.62,"0.244"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age32 - Age54","Spring/Summer",0.02,0.03,63,0.7,"0.762"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age13 - Age32","Autumn/Winter",-0.06,0.03,63,-1.92,"0.140"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age13 - Age54","Autumn/Winter",-0.06,0.03,63,-1.84,"0.165"
"C20:3n6 cis-8,11,14-eicosatrienoic acid","Age32 - Age54","Autumn/Winter",0,0.03,63,0.08,"0.996"
"C20:4n3 eicosatetraenoic acid","Age13 - Age32","Spring/Summer",-0.05,0.03,63,-2.17,"0.085"
"C20:4n3 eicosatetraenoic acid","Age13 - Age54","Spring/Summer",-0.17,0.03,63,-6.54,"<0.001"
"C20:4n3 eicosatetraenoic acid","Age32 - Age54","Spring/Summer",-0.11,0.03,63,-4.37,"<0.001"
"C20:4n3 eicosatetraenoic acid","Age13 - Age32","Autumn/Winter",-0.12,0.03,63,-4.87,"<0.001"
"C20:4n3 eicosatetraenoic acid","Age13 - Age54","Autumn/Winter",-0.15,0.03,63,-6.05,"<0.001"
"C20:4n3 eicosatetraenoic acid","Age32 - Age54","Autumn/Winter",-0.03,0.03,63,-1.17,"0.474"
"C20:4n6 arachidonic acid (AA)","Age13 - Age32","Spring/Summer",-0.37,0.09,63,-4.17,"<0.001"
"C20:4n6 arachidonic acid (AA)","Age13 - Age54","Spring/Summer",-0.61,0.09,63,-6.86,"<0.001"
"C20:4n6 arachidonic acid (AA)","Age32 - Age54","Spring/Summer",-0.24,0.09,63,-2.69,"0.025"
"C20:4n6 arachidonic acid (AA)","Age13 - Age32","Autumn/Winter",-0.24,0.09,63,-2.65,"0.027"
"C20:4n6 arachidonic acid (AA)","Age13 - Age54","Autumn/Winter",-0.41,0.09,63,-4.54,"<0.001"
"C20:4n6 arachidonic acid (AA)","Age32 - Age54","Autumn/Winter",-0.17,0.09,63,-1.9,"0.148"
"C20:5n3 eicosapentaenoic acid","Age13 - Age32","Spring/Summer",-0.33,0.1,63,-3.25,"0.005"
"C20:5n3 eicosapentaenoic acid","Age13 - Age54","Spring/Summer",-0.7,0.1,63,-6.85,"<0.001"
"C20:5n3 eicosapentaenoic acid","Age32 - Age54","Spring/Summer",-0.37,0.1,63,-3.61,"0.002"
"C20:5n3 eicosapentaenoic acid","Age13 - Age32","Autumn/Winter",-0.1,0.1,63,-0.98,"0.590"
"C20:5n3 eicosapentaenoic acid","Age13 - Age54","Autumn/Winter",-0.09,0.1,63,-0.84,"0.679"
"C20:5n3 eicosapentaenoic acid","Age32 - Age54","Autumn/Winter",0.01,0.1,63,0.14,"0.989"
"C22:0 behenic acid","Age13 - Age32","Spring/Summer",0.02,0.04,63,0.55,"0.849"
"C22:0 behenic acid","Age13 - Age54","Spring/Summer",-0.08,0.04,63,-2.23,"0.074"
"C22:0 behenic acid","Age32 - Age54","Spring/Summer",-0.1,0.04,63,-2.77,"0.020"
"C22:0 behenic acid","Age13 - Age32","Autumn/Winter",0.06,0.04,63,1.62,"0.246"
"C22:0 behenic acid","Age13 - Age54","Autumn/Winter",0.06,0.04,63,1.72,"0.207"
"C22:0 behenic acid","Age32 - Age54","Autumn/Winter",0,0.04,63,0.1,"0.995"
"C22:5n3 docosapentaenoic acid (DPA)","Age13 - Age32","Spring/Summer",-0.04,0.13,63,-0.27,"0.960"
"C22:5n3 docosapentaenoic acid (DPA)","Age13 - Age54","Spring/Summer",-0.33,0.13,63,-2.49,"0.040"
"C22:5n3 docosapentaenoic acid (DPA)","Age32 - Age54","Spring/Summer",-0.3,0.13,63,-2.22,"0.075"
"C22:5n3 docosapentaenoic acid (DPA)","Age13 - Age32","Autumn/Winter",0.6,0.13,63,4.49,"<0.001"
"C22:5n3 docosapentaenoic acid (DPA)","Age13 - Age54","Autumn/Winter",0.63,0.13,63,4.75,"<0.001"
"C22:5n3 docosapentaenoic acid (DPA)","Age32 - Age54","Autumn/Winter",0.03,0.13,63,0.26,"0.964"
"C22:6n3 docosahexaenoic acid (DHA)","Age13 - Age32","Spring/Summer",-0.5,0.1,63,-4.75,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Age13 - Age54","Spring/Summer",-1.25,0.1,63,-11.9,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Age32 - Age54","Spring/Summer",-0.75,0.1,63,-7.14,"<0.001"
"C22:6n3 docosahexaenoic acid (DHA)","Age13 - Age32","Autumn/Winter",-0.18,0.1,63,-1.68,"0.220"
"C22:6n3 docosahexaenoic acid (DHA)","Age13 - Age54","Autumn/Winter",-0.13,0.1,63,-1.24,"0.435"
"C22:6n3 docosahexaenoic acid (DHA)","Age32 - Age54","Autumn/Winter",0.05,0.1,63,0.44,"0.897"
"C24:0 lignoceric acid","Age13 - Age32","Spring/Summer",0.19,0.04,63,5.44,"<0.001"
"C24:0 lignoceric acid","Age13 - Age54","Spring/Summer",0.25,0.04,63,7.13,"<0.001"
"C24:0 lignoceric acid","Age32 - Age54","Spring/Summer",0.06,0.04,63,1.69,"0.217"
"C24:0 lignoceric acid","Age13 - Age32","Autumn/Winter",0.45,0.04,63,12.75,"<0.001"
"C24:0 lignoceric acid","Age13 - Age54","Autumn/Winter",0.46,0.04,63,13.01,"<0.001"
"C24:0 lignoceric acid","Age32 - Age54","Autumn/Winter",0.01,0.04,63,0.26,"0.964"
"∑Saturated fatty acids SFA","Age13 - Age32","Spring/Summer",0.14,0.03,63,4.95,"<0.001"
"∑Saturated fatty acids SFA","Age13 - Age54","Spring/Summer",0.32,0.03,63,11.13,"<0.001"
"∑Saturated fatty acids SFA","Age32 - Age54","Spring/Summer",0.18,0.03,63,6.18,"<0.001"
"∑Saturated fatty acids SFA","Age13 - Age32","Autumn/Winter",0.05,0.03,63,1.55,"0.277"
"∑Saturated fatty acids SFA","Age13 - Age54","Autumn/Winter",0.02,0.03,63,0.75,"0.737"
"∑Saturated fatty acids SFA","Age32 - Age54","Autumn/Winter",-0.02,0.03,63,-0.8,"0.704"
"∑Mono-unsaturated fatty acids MUFA","Age13 - Age32","Spring/Summer",0.1,0.03,63,2.86,"0.016"
"∑Mono-unsaturated fatty acids MUFA","Age13 - Age54","Spring/Summer",0.3,0.03,63,8.86,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Age32 - Age54","Spring/Summer",0.21,0.03,63,5.99,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Age13 - Age32","Autumn/Winter",-0.28,0.03,63,-8.03,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Age13 - Age54","Autumn/Winter",-0.31,0.03,63,-8.96,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Age32 - Age54","Autumn/Winter",-0.03,0.03,63,-0.93,"0.623"
"∑ poly-unsaturated fatty acids 3 PUFA","Age13 - Age32","Spring/Summer",-0.22,0.1,63,-2.22,"0.076"
"∑ poly-unsaturated fatty acids 3 PUFA","Age13 - Age54","Spring/Summer",-0.54,0.1,63,-5.4,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","Age32 - Age54","Spring/Summer",-0.32,0.1,63,-3.18,"0.006"
"∑ poly-unsaturated fatty acids 3 PUFA","Age13 - Age32","Autumn/Winter",0.07,0.1,63,0.75,"0.734"
"∑ poly-unsaturated fatty acids 3 PUFA","Age13 - Age54","Autumn/Winter",0.09,0.1,63,0.94,"0.615"
"∑ poly-unsaturated fatty acids 3 PUFA","Age32 - Age54","Autumn/Winter",0.02,0.1,63,0.19,"0.980"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age13 - Age32","Spring/Summer",-0.22,0.11,63,-1.98,"0.125"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age13 - Age54","Spring/Summer",-0.62,0.11,63,-5.54,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age32 - Age54","Spring/Summer",-0.4,0.11,63,-3.56,"0.002"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age13 - Age32","Autumn/Winter",-0.03,0.11,63,-0.22,"0.973"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age13 - Age54","Autumn/Winter",-0.09,0.11,63,-0.82,"0.689"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age32 - Age54","Autumn/Winter",-0.07,0.11,63,-0.6,"0.820"
"Fat Content g/100g","Age13 - Age32","Spring/Summer",0.02,0.04,63,0.58,"0.830"
"Fat Content g/100g","Age13 - Age54","Spring/Summer",0.07,0.04,63,1.89,"0.149"
"Fat Content g/100g","Age32 - Age54","Spring/Summer",0.05,0.04,63,1.31,"0.394"
"Fat Content g/100g","Age13 - Age32","Autumn/Winter",-0.78,0.04,63,-21.53,"<0.001"
"Fat Content g/100g","Age13 - Age54","Autumn/Winter",-0.8,0.04,63,-21.92,"<0.001"
"Fat Content g/100g","Age32 - Age54","Autumn/Winter",-0.01,0.04,63,-0.38,"0.922"
