"name","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"C24:0 lignoceric acid","Season",0.12,0.12,1,66,16.37,"<0.001"
"C24:0 lignoceric acid","Age",1.82,0.91,2,66,123.45,"<0.001"
"C24:0 lignoceric acid","Season:Age",0.22,0.11,2,66,14.99,"<0.001"
"∑Saturated fatty acids SFA","Season",0.18,0.18,1,65,34.42,"<0.001"
"∑Saturated fatty acids SFA","Age",0.36,0.18,2,65,35.35,"<0.001"
"∑Saturated fatty acids SFA","Season:Age",0.29,0.14,2,65,28,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Season",3.23,3.23,1,65,454.54,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Age",0.12,0.06,2,65,8.73,"<0.001"
"∑Mono-unsaturated fatty acids MUFA","Season:Age",1.15,0.57,2,65,80.68,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","Season",5.93,5.93,1,63,100.45,"<0.001"
"∑ poly-unsaturated fatty acids 3 PUFA","Age",0.61,0.3,2,63,5.16,"0.008"
"∑ poly-unsaturated fatty acids 3 PUFA","Season:Age",1.19,0.59,2,63,10.08,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Season",7.84,7.84,1,65,103.14,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Age",1.59,0.79,2,65,10.43,"<0.001"
"∑omega 3 poly-unsaturated fatty acids n-3 PUFA","Season:Age",0.86,0.43,2,65,5.67,"0.005"
"Fat Content g/100g","Season",0.24,0.24,1,63,30.58,"<0.001"
"Fat Content g/100g","Age",2.22,1.11,2,63,140.14,"<0.001"
"Fat Content g/100g","Season:Age",2.79,1.4,2,63,176.5,"<0.001"
